,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
173,House for Sale,"Nakhipot, Lalitpur",Rs. 2.75Cr,,2800 Sq. Ft.,5,4,2.5,2 Cars & 5 Bikes,20 Feet 
174,House for Sale,"Nagarjun, Kathmandu",Rs. 25Cr,,2100 Sq. Ft.,6,3,2,10 Cars & 10 Bikes,20 Feet 
175,House for Sale,"Nakhipot, Lalitpur",Rs. 2.75Cr,,2248 Sq. Ft.,5,4,2.5,2 Cars & 4 Bikes,13 Feet 
176,House for Sale,"Tikathali, Lalitpur",Rs. 2.9Cr,,2800 Sq. Ft.,6,4,3,2 Cars & 4 Bikes,12 Feet 
177,4 BHK House for Sale,"Satungal, Kathmandu",Rs. 1.75Cr,,,4,3,2.5,1 Car & 2 Bikes,16 Feet 
178,House for Sale,"Dhungeadda, Kathmandu",Rs. 2.5Cr,,2200 Sq. Ft.,5,4,2.5,1 Car & 2 Bikes,20 Feet 
179,Bungalow House for Sale,"Bhangal , Kathmandu",Rs. 3.25Cr,,2500 Sq. Ft.,5,3,2.5,1 Car & 2 Bikes,16 Feet 
180,2 BHK House for Sale,"Tikathali, Lalitpur",Rs. 3.25Cr,,2800 Sq. Feet,8,3,3,1 Car & 4 Bikes,20 Feet 
181,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.45Cr,,2248 Sq. Ft.,4,4,2.5,1 Car & 2 Bikes,13 Feet 
182,House for Sale,"Kapan, Kathmandu",Rs. 1.8Cr,,1000 Sq. Feet,2,1,1,1 Car & 1 Bike,16 Feet 
183,House for Sale,"Kapan, Kathmandu",Rs. 3.9Cr,,3300 Sq. Ft.,8,3,3.5,1 Car & 2 Bikes,16 Feet 
184,House for Sale,"Kapan, Kathmandu",Rs. 1.6Cr,,1000 Sq. Ft.,2,1,1,1 Car & 2 Bikes,16 Feet 
185,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 3.9Cr,,2500 Sq. Ft.,6,2,2.5,1 Car & 2 Bikes,16 Feet 
186,House for Sale,"Imadol, Lalitpur",Rs. 2.6Cr,,2800 Sq. Ft.,5,3,2.5,1 Car & 3 Bikes,13 Feet 
187,House for Sale,"Butwal, Rupandehi",Rs. 4.4Cr,,,8,5,2.5,4 Cars & 8 Bikes,20 Feet 
188,Beautiful House for Sale,"Khadka Gaun, Kathmandu",Rs. 3.5Cr,,2300 Sq. Ft.,5,4,3,3 Cars & 4 Bikes,13 Feet 
189,House for Sale,"Dholahiti, Lalitpur",Rs. 4.9Cr,,3200 Sq. Ft.,10,4,3.5,1 Car & 2 Bikes,13 Feet 
190,House for Sale,"Khumaltar, Lalitpur",Rs. 7.25Cr,,2500 Sq. Ft.,5,2,2.5,2 Cars & 4 Bikes,20 Feet 
191,House for Sale,"Dhapakhel, Lalitpur",Rs. 3.5Cr,,2200 Sq. Ft.,9,5,3.5,1 Car & 3 Bikes,20 Feet 
192,House for Sale,"Rudreshwor, Kathmandu",Rs. 4.9Cr,,2500 Sq. Ft.,6,2,2.5,2 Cars & 4 Bikes,16 Feet 
193,4 BHK House for Sale,"Tokha Saraswoti, Kathmandu",Rs. 4.1Cr,,1950 Sq. Ft.,4,3,2.5,1 Car & 2 Bikes,21 Feet 
194,6 BHK House for Sale,"Dhapakhel, Lalitpur",Rs. 2.9Cr,,3000 Sq. Ft.,6,4,3.5,1 Car & 8 Bikes,19 Feet 
195,House for Sale,"Hattigaunda, Kathmandu",Rs. 3.45Cr,,3000 Sq. Ft.,6,3,2.5,1 Car & 2 Bikes,13 Feet 
196,House for Sale,"Bhangal , Kathmandu",Rs. 3.7Cr,,2500 Sq. Ft.,6,3,3,1 Car & 2 Bikes,16 Feet 
